title                                                         ,url                                                                                              ,description                                                                                                                                                               ,content
Tháp điện mặt trời lớn nhất Trung Quốc kết nối lưới điện      ,https://vnexpress.net/thap-dien-mat-troi-lon-nhat-trung-quoc-ket-noi-luoi-dien-4822602.html      ,Trang trại mặt trời Năng lượng mới Aksai Huidong ở Cam Túc sẽ bao gồm 110 MW nhiệt điện mặt trời và 640 MW quang điện.                                                    ,Video: CCTV
Bơm nhiệt CO2 lớn nhất thế giới có thể sưởi cho 25.000 hộ     ,https://vnexpress.net/bom-nhiet-co2-lon-nhat-the-gioi-co-the-suoi-cho-25-000-ho-4822595.html     ,Đan MạchHệ thống bơm nhiệt của công ty MAN Energy Solutions sử dụng kết hợp các nguồn năng lượng tái tạo để cung cấp nhiệt lượng cho 25.000 hộ gia đình.                  ,"Hệ thống bơm nhiệt nước biển của MAN Energy Solutions. Ảnh: MAN Energy Solutions Bơm nhiệt nước biển dựa trên CO2 lớn nhất thế giới bắt đầu hoạt động ở cảng Esbjerg tại Đan Mạch. Công nghệ phát triển bởi công ty Thụy Sĩ MAN Energy Solutions đại diện cho bước tiến hướng tới giảm carbon từ cơ sở hạ tầng và cung cấp một ví dụ cho những thành phố đang tìm cách hạn chế tác động tới môi trường, Interesting Engineering hôm 1/12 đưa tin. Bơm nhiệt 70 MW là thành phần chủ chốt trong chiến lược rộng hơn nhằm giảm phụ thuộc vào nhiên liệu hóa thạch. Cơ sở bơm nhiệt tiên tiến này sử dụng năng lượng tái tạo, khai thác nhiệt từ nước biển và trang trại điện gió gần đó để cung cấp nhiệt lượng cho 25.000 hộ gia đình. Nhà máy sẽ cung cấp 280 MWh nhiệt hàng năm, đồng thời giảm 120.000 tấn khí thải CO2 mỗi năm. Theo MAN Energy Solutions, công nghệ của họ cung cấp lựa chọn cho các trung tâm dân cư khác khám phá giải pháp sưởi. Dự án có ý nghĩa quan trọng không chỉ do quy mô của bơm nhiệt CO2 mà cả khả năng tích hợp nhiều nguồn năng lượng khác nhau của nó. Cơ sở kết hợp một lò hơi nước dăm gỗ 60 MW, đảm bảo nguồn cung cấp năng lượng tái tạo liên tục. Một lò hơi điện 40 MW khác giúp tăng cường độ bền bỉ của hệ thống, đáp ứng nhu cầu vào thời gian cao điểm và đóng vai trò giải pháp sưởi dự phòng. Việc sử dụng CO2 như chất làm lạnh trong bơm nhiệt làm nổi bật tác động của dự án đối với bảo vệ môi trường. CO2 là lựa chọn an toàn và bền vững hơn so với các chất làm lạnh truyền thống. Ngoài lợi ích môi trường, hệ thống được thiết kế để đạt hiệu quả cao và ổn định với lưới điện. Nó có thể điều chỉnh theo thay đổi về nhu cầu năng lượng. Hệ thống có thể bật tắt nhiều lần trong ngày với khả năng phản ứng nhanh. Hệ thống bơm nhiệt mới trang bị hai bộ máy nén - motor HOFIM bịt kín do MAN Energy Solutions phát triển. Thiết bị sử dụng motor tốc độ cao và vòng bi từ chủ động, do đó không cần dùng dầu và không đòi hỏi bảo dưỡng nhiều. Ngoài ra, hệ thống cũng có tính năng theo dõi từ xa, phân tích chẩn đoán dữ liệu, giúp đảm bảo hiệu suất tối ưu. An Khang (Theo Interesting Engineering)"
Bãi phóng vũ trụ thương mại đầu tiên của Trung Quốc hoạt động ,https://vnexpress.net/bai-phong-vu-tru-thuong-mai-dau-tien-cua-trung-quoc-hoat-dong-4822615.html ,Bãi phóng Thương mại Hàng không vũ trụ Hải Nam chính thức hoạt động khi tên lửa Trường Chinh 12 mang 2 vệ tinh phóng lên thành công hôm 30/11.                            ,Video: CGTN
Khai thác nước ngầm làm nghiêng trục Trái Đất                 ,https://vnexpress.net/khai-thac-nuoc-ngam-lam-nghieng-truc-trai-dat-4822546.html                 ,Một nghiên cứu cho thấy việc khai thác nước ngầm trong nhiều thập kỷ đã khiến trục Trái Đất nghiêng về phía đông gần 80 cm trong 20 năm.                                  ,"Con người khai thác nước ngầm quá mức có thể khiến môi trường bị ảnh hưởng. Ảnh: Sumeth c/Shutterstock Cực quay của Trái Đất, điểm mà Trái Đất xoay quanh, không cố định. Nó di chuyển trong một quá trình gọi là chuyển động cực, khi vị trí của cực quay thay đổi so với lớp vỏ Trái Đất. Quá trình này có thể được hình dung như một con quay; nếu trọng lượng phân bố của con quay thay đổi, nó sẽ quay khác đi. Sự phân bố nước trên hành tinh hoạt động tương tự. Khi nước dịch chuyển, nó thay đổi cách Trái Đất quay, theo IFL Science hôm 28/11. ""Cực quay của Trái Đất thực sự thay đổi rất nhiều"", TS Ki-Weon Seo, nhà địa vật lý tại Đại học Quốc gia Seoul, giải thích trong một tuyên bố về nghiên cứu năm 2023 được công bố trên Geophysical Research Letters. ""Nghiên cứu của chúng tôi cho thấy trong số các nguyên nhân liên quan đến khí hậu, việc phân phối lại nước ngầm thực sự có tác động lớn nhất đến sự trôi dạt của cực quay"", ông nói. Nước ngầm khác với nước sông và hồ. Nó là nước ẩn dưới lòng đất và tích tụ từ mưa và các dạng kết tủa khác. Khi nước thấm vào đất, nó từ từ thấm xuống các tầng chứa nước tự nhiên - các bể chứa ngầm. Loại nước này là một đặc điểm quan trọng của vòng tuần hoàn nước vì nó cung cấp nước ngay cả trong thời kỳ mưa ít. Ngày nay, khoảng 50% dân số thế giới phụ thuộc vào nước ngầm để lấy nước uống và 1/3 lượng nước tưới tiêu trên thế giới. Theo truyền thống, con người tiếp cận loại nước này thông qua giếng, lỗ khoan... Tuy nhiên trong suốt thế kỷ 20, các xã hội hiện đại đã bắt đầu khai thác các bể chứa nước ngầm ở quy mô lớn hơn nhiều. Nghiên cứu chỉ ra, từ năm 1993 đến 2010, con người đã bơm 2.150 tỷ tấn nước ngầm. Năm 2016, các nhà khoa học đã cảnh báo sự phân bố của nước có thể làm thay đổi vòng quay của Trái Đất. Nhưng vào thời điểm đó, hiện tượng này còn thiếu chi tiết về cách sử dụng nước ngầm có thể liên quan đến điều đó. Sau đó nhóm nghiên cứu của TS Ki-Weon Seo đã mô hình hóa những thay đổi quan sát được trong sự trôi dạt của cực quay Trái Đất và sự chuyển động của nước. Họ đã chạy nhiều kịch bản và tìm ra phương án duy nhất phù hợp với mức trôi dạt 4,3 cm mỗi năm tương ứng với 2.150 tỷ tấn nước ngầm được phân phối lại đã được tính toán trước đó. Nghiên cứu này đã định lượng một cách hiệu quả vai trò của việc bơm nước ngầm đối với chuyển động cực và biến đổi khí hậu. Mặc dù sự dịch chuyển cực do loại hình khai thác này gây ra có thể sẽ không làm thay đổi cách các khu vực có nguy cơ trải qua các mùa, nhưng sự dịch chuyển cực có thể tác động đến khí hậu. Bảo Anh (Theo IFL Science)"
Mưa khiến nhiều cặp chim ly hôn                               ,https://vnexpress.net/mua-khien-nhieu-cap-chim-ly-hon-4821068.html                               ,Một loài chim sống theo chế độ một vợ một chồng tại Seychelles có khả năng ly hôn cao hơn sau những đợt mưa quá ít hoặc quá nhiều.                                        ,"Một cặp chim Seychelles warbler trên đảo Cousin. Ảnh: Yasuyoshi Chiba/iStock Theo nghiên cứu mới trên tạp chí Journal of Animal Ecology, lượng mưa ảnh hưởng đến tỷ lệ ly hôn của các cặp chim Seychelles warbler, loài chim nhỏ chỉ sống tại 5 đảo thuộc quốc gia châu Phi Seychelles. Phát hiện này cho thấy các mô hình thời tiết thay đổi do biến đổi khí hậu có thể ảnh hưởng lớn tới quá trình sinh sản của nhiều loài vật trên toàn cầu, Newsweek hôm 26/11 đưa tin. Trong nghiên cứu mới, nhóm chuyên gia phân tích hành vi giao phối của chim Seychelles warbler trên đảo Cousin trong 16 năm và so sánh với các mô hình thời tiết trong cùng khoảng thời gian. Loài vật này sống theo chế độ một vợ một chồng, nghĩa là một con đực và một con cái hình thành mối quan hệ lâu dài, thường qua nhiều mùa giao phối hoặc thậm chí suốt đời. Chế độ một vợ một chồng tồn tại ở khoảng 90% loài chim, nhưng đôi khi mối quan hệ bị phá vỡ mà không phải do đối tác chết. Trường hợp này được gọi là ly hôn. Nhóm nghiên cứu cho biết, ly hôn thường liên quan đến việc sinh sản kém. Khoảng 92% loài chim một vợ một chồng từng được ghi nhận có hiện tượng ly hôn, tỷ lệ ly hôn ở các loài không giống nhau. Trong thời gian nghiên cứu, tỷ lệ ly hôn ở chim Seychelles warbler hàng năm là 1 - 16%. Đáng chú ý, nhóm nghiên cứu nhận thấy mối liên hệ giữa tỷ lệ ly hôn của chúng với lượng mưa. Nhiều trường hợp ly hôn xảy ra hơn trong những năm lượng mưa thấp hoặc cao bất thường, theo đồng tác giả nghiên cứu Frigg Speelman, nghiên cứu sinh về sinh thái học hành vi tại Đại học Macquarie. Điều này có thể xuất phát từ việc lượng mưa thấp làm giảm nguồn thức ăn, trong khi lượng mưa cao lại hạn chế khả năng duy trì nhiệt độ cơ thể của chim, đồng thời gây hại cho môi trường sống và tổ của chúng. Ngoài ra, cũng có thể lượng mưa cao và thấp làm tăng mức độ căng thẳng sinh lý ở chim, một yếu tố quan trọng khi lựa chọn bạn đời. Nhóm nghiên cứu không tìm thấy mối liên hệ trực tiếp giữa khả năng ly hôn và sự thành công về mặt sinh sản, hay số lượng con sinh ra, nghĩa là có thể còn những yếu tố khác ảnh hưởng đến tỷ lệ ly hôn. Trong bối cảnh khí hậu đang biến đổi nhanh, phát hiện mới rất đáng lo ngại với chim Seychelles warbler, vốn đã phải đối mặt với nhiều thách thức bảo tồn, và cả các loài chim khác trên toàn cầu. ""Nghiên cứu mới không chỉ nâng cao hiểu biết của chúng ta về hành vi động vật trước sự thay đổi khí hậu mà còn cung cấp thông tin giá trị có thể hữu ích cho nỗ lực bảo tồn những loài dễ bị tổn thương trước tác động của biến đổi khí hậu"", Speelman cho biết. Thu Thảo (Theo Newsweek)"
Canada sẽ xây nấm mồ hạt nhân sâu gần 700 m                   ,https://vnexpress.net/canada-se-xay-nam-mo-hat-nhan-sau-gan-700-m-4822100.html                   ,Kho chứa địa chất sâu ở Canada sẽ có nhiều lớp bảo vệ tự nhiên và nhân tạo giúp cách ly an toàn nhiên liệu hạt nhân đã qua sử dụng.                                       ,"Hầm chứa chất thải hạt nhân Okalo của Phần Lan. Ảnh: Yahoo Tổ chức quản lý chất thải hạt nhân (NWMO) đã chọn cộng đồng bản địa Wabigoon Lake Ojibway Nation (WLON) và Township of Ignace làm nơi chủ quản cho kho lưu trữ địa chất sâu đầu tiên Canada dành cho nhiên liệu hạt nhân đã qua sử dụng. Thông báo này được đưa ra sau quá trình lựa chọn kéo dài 14 năm. ""Dự án sẽ giải quyết vấn đề môi trường và hỗ trợ các mục tiêu chống biến đổi khí hậu của Canada"", Interesting Engineering hôm 29/11 dẫn lời Laurie Swami, chủ tịch kiêm giám đốc điều hành NWMO. Kho chứa sẽ cung cấp giải pháp dài hạn cho việc quản lý an toàn nhiên liệu hạt nhân đã qua sử dụng, phụ phẩm từ quá trình sản xuất điện hạt nhân của Canada. Nhiên liệu hạt nhân đã qua sử dụng hiện nay được lưu trữ ở khu vực lò phản ứng và phòng thí nghiệm trên khắp đất nước. Tuy nhiên, cần có giải pháp vĩnh viễn để đảm bảo an toàn cho thế hệ hiện nay và tương lai. NWMO xác định kho lưu trữ địa chất sâu là giải pháp hiệu quả nhất để quản lý dài hạn vật liệu này. Kho chứa sẽ được xây dựng ở độ sâu 650 - 680 m, đặc biệt sâu hơn tháp CN (553 m). Độ sâu đó giúp cách ly nhiên liệu hạt nhân đã qua sử dụng khỏi môi trường và hoạt động của con người. Nó sẽ bao gồm mạng lưới đường hầm dưới lòng đất và phòng chứa chất thải. Theo NWMO, một loạt rào cản kỹ thuật và tự nhiên sẽ được kết hợp để lưu trữ an toàn nhiên liệu hạt nhân đã qua sử dụng trong kho chứa. Những rào cản này bao gồm container chắc chắn, mối đệm kín, và cấu tạo địa chất xung quanh. Mỗi rào cản sẽ cung cấp một mức độ bảo vệ đặc biệt và độc lập, đồng thời đóng vai trò hỗ trợ rào cản trước đó. Nếu bất kỳ rào cản nào gặp trục trặc, các rào cản khác sẽ tiếp tục cách ly vật liệu nguy hiểm. Quyết định lựa chọn WLON và Ignace được đưa ra sau quá trình sàng lọc bắt đầu vào năm 2010 với 22 cộng đồng bày tỏ sự quan tâm. Với mỗi cộng đồng, NWMO đều cung cấp thông tin và trả lời những câu hỏi về dự án. Ngoài ra, dự án sẽ trải qua quy trình điều tiết của Ủy ban an toàn hạt nhân Canada và chính phủ Canada. Việc xây dựng kho chứa địa chất sâu và vận chuyển nhiên liệu hạt nhân đã qua sử dụng sẽ bắt đầu lần lượt vào thập niên 2030 và 2040. Cách đây vài tháng, Phần Lan trở thành quốc gia đầu tiên trên thế giới chôn chất thải nhiên liệu hạt nhân trong nấm mồ địa chất để lưu trữ trong 100.000 năm tới. Họ lên kế hoạch đặt nhiên liệu hạt nhân đã qua sử dụng trong hộp chống thấm nước và chôn ở độ sâu khoảng 400 m dưới lòng đất trong khu rừng ở vùng tây nam Phần Lan. An Khang (Theo Interesting Engineering)"
Trung Quốc hoàn thành 3.046 km rào chắn cát sa mạc            ,https://vnexpress.net/trung-quoc-hoan-thanh-3-046-km-rao-chan-cat-sa-mac-4821586.html            ,"Hàng rào xanh bao quanh Taklimakan, sa mạc lớn nhất Trung Quốc, giúp hạn chế tình trạng cát xâm nhập những ngôi làng lân cận."                                           ,Video: CCTV
Lõi Trái Đất có thể đang rò rỉ sắt                            ,https://vnexpress.net/loi-trai-dat-co-the-dang-ro-ri-sat-4821704.html                            ,Các nhà nghiên cứu phát hiện đồng vị sắt ở lõi Trái Đất có thể xâm nhập vào tầng thấp nhất của lớp phủ trong hàng tỷ năm qua.                                             ,"Mô phỏng hình dáng lõi Trái Đất. Ảnh: Vadim Sadovski Sâu trong lòng Trái Đất, một khối cầu kim loại rắn khổng lồ được bao quanh bởi lớp sắt và nickel lỏng, tạo thành hai lớp trong cùng của Trái Đất. Tuy nhiên, chúng không phải luôn ổn định. Một nghiên cứu công bố trên tạp chí Nature Geoscience năm 2020 hé lộ đồng vị sắt có thể dịch chuyển vào lớp phủ, lớp địa chất tiếp theo của Trái Đất bắt đầu ở độ sâu khoảng 2.900 km bên dưới bề mặt hành tinh, theo IFL Science. Thu thập mẫu vật lớp phủ của Trái Đất cực kỳ khó khăn bởi nó nằm quá sâu. Thay vào đó, các nhà khoa học phát hiện thông qua thí nghiệm và lập mô hình địa động lực, chỉ ra cách hợp kim sắt lỏng phản ứng dưới nhiệt độ lên tới 2.000 độ C và áp suất cực hạn như trong lòng đất. Thí nghiệm cho thấy đồng vị sắt dịch chuyển như thế nào dựa trên chênh lệch nhiệt, trong đó đồng vị nặng hơn dịch chuyển tới khu vực mát hơn. Hiệu ứng này nhiều khả năng khiến vật chất ở lõi kim loại xâm nhập vào nhiều nơi ở phần thấp nhất của lớp phủ. Nếu đúng như vậy, kết quả nghiên cứu chứng minh sắt từ lõi đã rò rỉ vào lớp phủ suốt hàng tỷ năm qua, theo Charles Lesher, trưởng nhóm nghiên cứu công bố năm 2020. Lesher là giáo sư danh dự ngành địa chất học ở Đại học California, Davis kiêm giáo sư thạch học ở Đại học Aarhus, Đan Mạch. Đây không phải khu vực duy nhất bên trong Trái Đất có sự vận động. Tương tự vật chất dịch chuyển từ lõi ra ngoài, vật chất khác cũng hướng từ bề mặt tới những lớp bên dưới. Các nhà khoa học khác từng chỉ ra nước từ bề mặt Trái Đất bị đẩy vào lớp phủ đá do quá trình xê dịch của mảng kiến tạo. Một nghiên cứu vào năm 2014 cho thấy vùng chuyển tiếp lớp phủ sâu khoảng 410 - 660 km chứa lớp đá xanh dày đặc. Khoáng chất màu xanh dương này chứa nước, nhưng không phải ở dạng rắn, lỏng hay khí. Thay vào đó, nó tích hợp nước trong một dạng phân tử khác hình thành bên trong cấu trúc tinh thể. Tuy nhiên, ringwoodite (một tảng đá màu xanh nơi nước được giấu kín) hé lộ sự tồn tại của lượng nước lớn sâu trong lòng đất. Các nhà nghiên cứu ước tính nếu chỉ 1% đá ở vùng chuyển tiếp lớp phủ là nước, lượng nước sẽ nhiều gấp gần 3 lần nước ở mọi đại dương gộp lại. Nói cách khác, phần lớn nước trên Trái Đất có thể nằm bên trong lớp phủ của nó, mắc kẹt bên trong cấu trúc tinh thể của ringwoodite. An Khang (Theo IFL Science)"
Máy bay điện lớn nhất thế giới sắp cất cánh                   ,https://vnexpress.net/may-bay-dien-lon-nhat-the-gioi-sap-cat-canh-4821705.html                   ,Mẫu máy bay hoạt động bằng điện sải cánh 32 m của Heart Aerospace có thể cất cánh từ đường băng ngắn và chở 30 hành khách.                                                ,"Mẫu máy bay X1 củaHeart Aerospace. Ảnh: Heart Aerospace Công ty khởi nghiệp Heart Aerospace của Thụy Điển đang chuẩn bị cho chuyến bay đầu tiên của mẫu X1 vào đầu năm sau. Đây là máy bay điện thử nghiệm có kích thước tương đương máy bay thương mại 30 chỗ sắp ra mắt của công ty, New Atlas hôm 28/11 đưa tin. ""Chuyến bay thử nghiệm ban đầu của X1 được thiết kế để kiểm nghiệm những khả năng của công nghệ đẩy điện tiên tiến"", công ty Heart Aerospace cho biết. Đây sẽ là cột mốc quan trọng đối với công ty có trụ sở tại Gothenburg, thành lập vào năm 2019 và đã gọi vốn 145 triệu USD cho kế hoạch tái định hình ngành hàng không trong khu vực. Heart Aerospace giới thiệu X1 hồi tháng 9 và nhấn mạnh phương tiện có kích thước tương tự mẫu ES-30 với sải cánh 32 m. Chuyến bay thử sẽ cất cánh từ sân bay quốc tế Plattsburgh tại New York, một lựa chọn lý tưởng bởi mật độ không lưu thấp cũng như hỗ trợ đối với phát triển và thử nghiệm công nghệ giao thông. Heart Aerospace không nêu rõ X1 có sở hữu tầm hoạt động 200 km không thải khí như ES-30 hay không. Máy bay thương mại ES-30 có thể cất cánh từ đường băng ngắn cỡ 1.100 m nhờ motor điện momen xoắn cao và động cơ turbine cánh quạt. Phương tiện sẽ có hệ thống lai cho phép đạt tầm hoạt động tổng cộng gần 400 km. Với tầm hoạt động tương đối ngắn và chỗ ngồi hạn chế, Heart Aerospace không hướng tới thay thế các hãng hàng không lớn mà tập trung vào kết nối những sân bay nhỏ hơn có diện tích khoảng 0,8 hecta. X1 sẽ trải qua thử nghiệm đầy đủ với những hệ thống chủ chốt để đảm bảo bay an toàn và thành công. Mẫu Heart X2 sẽ học hỏi từ máy bay thử nghiệm đầu tiên và kiểm tra Hệ thống đẩy lai độc lập của công ty vào năm 2026. Ngoài Heart Aerospace, một số công ty khác cũng muốn biến hoạt động bay thương mại không thải khí thành hiện thực. Hồi tháng 1, công ty Elysian thông báo thiết kế máy bay thân nhỏ và cánh dài thấp lấy cảm hứng từ thập niên 1960 của họ có thể chở 90 hành khách với năng lượng từ bộ pin. An Khang (Theo New Atlas)"
Trung Quốc phóng vệ tinh tự lái đầu tiên trên thế giới        ,https://vnexpress.net/trung-quoc-phong-ve-tinh-tu-lai-dau-tien-tren-the-gioi-4821840.html        ,Trung Quốc hôm 25/11 phóng thành công hai vệ tinh tự lái từ Trung tâm Phóng Vệ tinh Tửu Tuyền bằng tên lửa Trường Chinh-2C.                                               ,"Các vệ tinh tự lái Siwei Gaojing-2 03 và Gaojing-2 04 phóng lên không gian. Ảnh: CGTN Hai vệ tinh tự lái đầu tiên trên thế giới, Siwei Gaojing-2 03 và Gaojing-2 04, do Viện Công nghệ Du hành vũ trụ Thượng Hải (SAST) phát triển nhằm thay đổi cách thức quan sát Trái Đất. Khác với vệ tinh truyền thống cần sự điều khiển liên tục từ trạm mặt đất để di chuyển, cặp vệ tinh mới có thể tự duy trì và điều chỉnh quỹ đạo mà không cần con người can thiệp. Để đạt được điều này, các nhà phát triển đã sử dụng nhiều hệ thống tiên tiến cho vệ tinh, bao gồm công nghệ radar khẩu độ tổng hợp (SAR) và radar độ chính xác cao. Công nghệ SAR cho phép cặp vệ tinh nhìn xuyên qua mây, sương mù và bóng tối, cung cấp quan sát liên tục bất kể điều kiện thời tiết hay thời gian trong ngày. Khả năng này rất quan trọng với nhiều ứng dụng, từ giám sát tài nguyên thiên nhiên và hạ tầng đô thị đến hỗ trợ ứng phó thiên tai và giám sát quân sự. Công nghệ vận hành tự động mang lại nhiều lợi ích, giúp giảm nhu cầu điều khiển liên tục từ trạm mặt đất, giải phóng các nguồn lực và nhân sự quý giá. Công nghệ này cũng tăng khả năng phản ứng của các vệ tinh, cho phép chúng nhanh chóng thích ứng với yêu cầu nhiệm vụ thay đổi hoặc sự kiện bất ngờ. Gaojing-2 03 và Gaojing-2 04 nằm trong dự án mạng lưới vệ tinh viễn thám thương mại Siwei. Dự án này do Tập đoàn Khoa học và Công nghệ Hàng không Vũ trụ Trung Quốc (CASC) dẫn đầu, hướng đến thiết lập một mạng lưới gồm ít nhất 28 vệ tinh để cung cấp dữ liệu quan sát Trái Đất toàn diện cho nhiều ngành công nghiệp và ứng dụng khác nhau. Trong lĩnh vực quản lý tài nguyên thiên nhiên, các vệ tinh sẽ đóng góp vào việc theo dõi rừng, nguồn nước, mỏ khoáng sản, cung cấp dữ liệu quý giá cho quản lý tài nguyên bền vững. Khả năng chụp ảnh trong mọi điều kiện thời tiết sẽ cho phép chúng giám sát liên tục những cơ sở hạ tầng quan trọng, hỗ trợ phát hiện vấn đề tiềm ẩn và đảm bảo an toàn công cộng. Trong trường hợp xảy ra thiên tai, chúng có thể nhanh chóng cung cấp hình ảnh của khu vực bị ảnh hưởng, giúp chính quyền đánh giá thiệt hại và tham gia cứu trợ. Thu Thảo (Theo Interesting Engineering)"
